marca,modelo,precio,anno,kilometros,combustible,transmision,potencia,fuente,carroceria
NISSAN,QASHQAI,26995.0,2025.0,12528.0,Híbrido,Manual,14012.0,coches.net,utilitario
BMW,SERIE 1,19900.0,2021.0,97400.0,Diésel,Manual,11612.0,coches.net,berlina
JAGUAR,E-PACE,19290.0,2021.0,167999.0,Híbrido,Automatico,16312.0,coches.net,utilitario
FORD,KUGA,19490.0,2021.0,64982.0,Híbrido enchufable,Automatico,22512.0,coches.net,utilitario
MG,MG3,14290.0,2025.0,9136.0,Gasolina,Manual,11612.0,coches.net,berlina
MITSUBISHI,ASX,15990.0,2019.0,52954.0,Gasolina,Manual,11712.0,coches.net,utilitario
FORD,KUGA,21990.0,2021.0,69000.0,Híbrido enchufable,Automatico,22512.0,coches.net,utilitario
SEAT,IBIZA,12900.0,2020.0,13400.0,Gasolina,Manual,8012.0,coches.net,berlina
CITROEN,C3 AIRCROSS,14290.0,2023.0,35225.0,Gasolina,Manual,11012.0,coches.net,utilitario
DS,DS 5,14990.0,2018.0,70635.0,Diésel,Manual,12012.0,coches.net,berlina
FIAT,PANDA,11290.0,2023.0,54149.0,Híbrido,Manual,7012.0,coches.net,berlina
FORD,FOCUS,14990.0,2022.0,121400.0,Diésel,Manual,12012.0,coches.net,berlina
MERCEDES-BENZ,VITO,53999.0,2025.0,13000.0,Diésel,Automatico,13612.0,coches.net,utilitario
VOLKSWAGEN,POLO,14990.0,2022.0,66000.0,Gasolina,Manual,9512.0,coches.net,berlina
VOLKSWAGEN,T-CROSS,16985.0,2023.0,75230.0,Gasolina,Manual,9512.0,coches.net,utilitario
DACIA,SPRING,12985.0,2023.0,92.0,Eléctrico,Automatico,6512.0,coches.net,berlina
BMW,X1,20550.0,2021.0,99000.0,Híbrido enchufable,Automatico,22012.0,coches.net,utilitario
TOYOTA,RAV4,26350.0,2022.0,136000.0,Híbrido,Automatico,21812.0,coches.net,utilitario
VOLVO,XC40,21750.0,2021.0,123000.0,Híbrido enchufable,Automatico,21112.0,coches.net,utilitario
FORD,FOCUS,6390.0,2009.0,120000.0,Diésel,Manual,11512.0,coches.net,berlina
AUDI,A1,8490.0,2014.0,228800.0,Diésel,Manual,9012.0,coches.net,berlina
VOLKSWAGEN,T-ROC,33900.0,2024.0,22000.0,Gasolina,Automatico,15012.0,coches.net,utilitario
TOYOTA,COROLLA,23990.0,2021.0,66999.0,Híbrido,Automatico,12212.0,coches.net,berlina
NISSAN,QASHQAI,20990.0,2021.0,26339.0,Gasolina,Manual,14012.0,coches.net,berlina
TOYOTA,RAV4,33990.0,2021.0,106997.0,Híbrido,Automatico,21812.0,coches.net,utilitario
CITROEN,C3 AIRCROSS,12990.0,2022.0,71628.0,Gasolina,Manual,11012.0,coches.net,utilitario
BMW,X1,17985.0,2020.0,141579.0,Diésel,Automatico,11612.0,coches.net,utilitario
FORD,KUGA,15985.0,2018.0,79850.0,Gasolina,Manual,12012.0,coches.net,utilitario
BMW,SERIE 1,12500.0,2016.0,160000.0,Diésel,Manual,15012.0,coches.net,berlina
MAZDA,CX-80,56900.0,2024.0,9900.0,Híbrido,Automatico,25412.0,coches.net,utilitario
VOLVO,XC40,25150.0,2021.0,54000.0,Híbrido enchufable,Automatico,26212.0,coches.net,utilitario
RENAULT,AUSTRAL,23350.0,2023.0,126000.0,Híbrido,Automatico,20012.0,coches.net,utilitario
RENAULT,MÉGANE,17750.0,2021.0,99990.0,Híbrido enchufable,Automatico,16012.0,coches.net,berlina
RENAULT,CLIO,12750.0,2021.0,125000.0,Híbrido,Automatico,14012.0,coches.net,berlina
VOLKSWAGEN,GOLF,14550.0,2020.0,34000.0,Eléctrico,Automatico,13612.0,coches.net,berlina
VOLVO,XC40,21650.0,2021.0,112000.0,Híbrido enchufable,Automatico,26212.0,coches.net,utilitario
BMW,SERIE 4,41900.0,2023.0,30000.0,Gasolina,Automatico,18412.0,coches.net,berlina
MINI,MINI,9500.0,2012.0,140000.0,Diésel,Manual,11212.0,coches.net,berlina
VOLKSWAGEN,GOLF,12500.0,2016.0,250000.0,Híbrido enchufable,Automatico,20412.0,coches.net,berlina
HYUNDAI,IX35,6990.0,2013.0,259000.0,Diésel,Manual,11512.0,coches.net,utilitario
MINI,MINI,15490.0,2019.0,70356.0,Gasolina,Manual,10212.0,coches.net,berlina
CITROEN,C3,3200.0,2005.0,100000.0,Gasolina,Manual,7512.0,coches.net,berlina
OPEL,COMBO LIFE,19985.0,2023.0,35331.0,Diésel,Manual,10212.0,coches.net,utilitario
AUDI,Q3,38985.0,2023.0,13458.0,Híbrido enchufable,Automatico,24512.0,coches.net,utilitario
AUDI,Q3,38985.0,2023.0,13458.0,Híbrido enchufable,Automatico,24512.0,coches.net,utilitario
SEAT,ARONA,19390.0,2025.0,10350.0,Gasolina,Manual,11512.0,coches.net,utilitario
SEAT,IBIZA,20600.0,2026.0,99.0,Gasolina,Manual,11512.0,coches.net,berlina
SEAT,LEÓN,20900.0,2025.0,26710.0,Híbrido,Automatico,11612.0,coches.net,berlina
HYUNDAI,I30,11650.0,2022.0,157000.0,Híbrido,Manual,12012.0,coches.net,berlina
PEUGEOT,308,8950.0,2020.0,139000.0,Diésel,Manual,10012.0,coches.net,berlina
BMW,SERIE 3,22350.0,2021.0,126000.0,Híbrido enchufable,Automatico,29212.0,coches.net,berlina
SEAT,ATECA,17990.0,2020.0,58598.0,Gasolina,Manual,11512.0,coches.net,utilitario
VOLVO,XC40,26900.0,2021.0,96000.0,Híbrido enchufable,Automatico,21112.0,coches.net,utilitario
SKODA,KAMIQ,18990.0,2024.0,84789.0,Gasolina,Automatico,15012.0,coches.net,utilitario
NISSAN,QASHQAI,22790.0,2023.0,97192.0,Híbrido,Automatico,19012.0,coches.net,utilitario
OPEL,FRONTERA,19990.0,2025.0,7300.0,Híbrido,Automatico,13612.0,coches.net,utilitario
BMW,SERIE 3,32990.0,2004.0,176000.0,Gasolina,Manual,34312.0,coches.net,berlina
NISSAN,QASHQAI,25990.0,2024.0,38436.0,Híbrido,Manual,14012.0,coches.net,utilitario
MERCEDES-BENZ,CLASE A,28990.0,2022.0,53000.0,Diésel,Automatico,15012.0,coches.net,berlina
MERCEDES-BENZ,CLASE E,36990.0,2020.0,83000.0,Diésel,Automatico,19412.0,coches.net,berlina
TOYOTA,COROLLA,19990.0,2021.0,79195.0,Híbrido,Automatico,12212.0,coches.net,berlina
BMW,X3,36900.0,2021.0,98100.0,Híbrido enchufable,Automatico,29212.0,coches.net,utilitario
VOLKSWAGEN,ARTEON,31900.0,2021.0,116300.0,Diésel,Automatico,20012.0,coches.net,berlina
OPEL,CORSA,8990.0,2018.0,89447.0,Gasolina,Manual,9012.0,coches.net,berlina
KIA,PICANTO,10490.0,2021.0,36752.0,Gasolina,Manual,6712.0,coches.net,berlina
KIA,PICANTO,8990.0,2015.0,122000.0,Gasolina,Manual,8512.0,coches.net,berlina
CITROEN,BERLINGO,13990.0,2021.0,113000.0,Diésel,Manual,10212.0,coches.net,utilitario
OPEL,ASTRA,5890.0,2008.0,167000.0,Diésel,Manual,10012.0,coches.net,berlina
PEUGEOT,RIFTER,14490.0,2020.0,83000.0,Diésel,Manual,10012.0,coches.net,utilitario
MERCEDES-BENZ,CLASE C,36900.0,2023.0,69423.0,Híbrido enchufable,Automatico,31312.0,coches.net,berlina
MERCEDES-BENZ,CLASE C,33900.0,2020.0,46515.0,Híbrido enchufable,Automatico,32012.0,coches.net,berlina
PEUGEOT,RIFTER,12890.0,2019.0,116000.0,Diésel,Manual,7512.0,coches.net,utilitario
TOYOTA,C-HR,21985.0,2020.0,43380.0,Híbrido,Automatico,12212.0,coches.net,berlina
VOLKSWAGEN,TIGUAN,32985.0,2023.0,46776.0,Híbrido enchufable,Automatico,24512.0,coches.net,utilitario
VOLKSWAGEN,POLO,15985.0,2023.0,54364.0,Gasolina,Manual,9512.0,coches.net,berlina
VOLKSWAGEN,T-ROC,17900.0,2020.0,77200.0,Gasolina,Manual,11512.0,coches.net,utilitario
FIAT,500,15390.0,2023.0,18475.0,Eléctrico,Automatico,11812.0,coches.net,berlina
VOLVO,XC60,35900.0,2020.0,37135.0,Híbrido enchufable,Automatico,39012.0,coches.net,utilitario
FORD,KA+,9500.0,2017.0,55540.0,Gasolina,Manual,7012.0,coches.net,berlina
RENAULT,RAFALE,40900.0,2026.0,3000.0,Híbrido,Automatico,20012.0,coches.net,utilitario
NISSAN,QASHQAI+2,11500.0,2013.0,100000.0,Diésel,Manual,13012.0,coches.net,utilitario
NISSAN,X-TRAIL,13999.0,2017.0,160000.0,Gasolina,Manual,16312.0,coches.net,utilitario
AUDI,Q3 SPORTBACK,30990.0,2020.0,104000.0,Diésel,Automatico,15012.0,coches.net,utilitario
AUDI,A4,26490.0,2022.0,78000.0,Híbrido,Automatico,16312.0,coches.net,berlina
MERCEDES-BENZ,CLASE S,11990.0,2002.0,109000.0,Gasolina,Automatico,30612.0,coches.net,berlina
FIAT,500,9990.0,2021.0,59000.0,Híbrido,Manual,7012.0,coches.net,berlina
VOLVO,XC60,18990.0,2020.0,193000.0,Diésel,Manual,15012.0,coches.net,utilitario
FIAT,500,8250.0,2020.0,113000.0,Híbrido,Manual,7012.0,coches.net,berlina
KIA,STONIC,15990.0,2024.0,38000.0,Gasolina,Manual,10012.0,coches.net,utilitario
DS,DS 3 CROSSBACK,15990.0,2021.0,124796.0,Diésel,Automatico,13112.0,coches.net,utilitario
MERCEDES-BENZ,CLASE C,37990.0,2023.0,46000.0,Híbrido,Automatico,16312.0,coches.net,berlina
PEUGEOT,308,11700.0,2019.0,119000.0,Diésel,Manual,13012.0,coches.net,berlina
BMW,SERIE 3,21999.0,2019.0,245000.0,Diésel,Automatico,19012.0,coches.net,berlina
KIA,CEED TOURER,22800.0,2023.0,80000.0,Híbrido,Automatico,16012.0,coches.net,berlina
CUPRA,LEÓN,36990.0,2024.0,6000.0,Gasolina,Automatico,30012.0,coches.net,berlina
PORSCHE,CAYENNE COUPÉ,99990.0,2024.0,26000.0,Híbrido enchufable,Automatico,47012.0,coches.net,utilitario
RENAULT,CLIO,15990.0,24.0,32734.0,Gasolina,Manual,9012.0,coches.net,berlina
OMODA,5,22490.0,2023.0,57457.0,Gasolina,Automatico,19712.0,coches.net,utilitario
PEUGEOT,3008,19990.0,2022.0,19103.0,Gasolina,Manual,13012.0,coches.net,utilitario
CITROEN,BERLINGO,10990.0,2022.0,193500.0,Diésel,Manual,10212.0,coches.net,utilitario
